asin,category,date,price
B00PVK7KCU,Babynahrung,2022-01-04,11.7
B00PVK7KCU,Babynahrung,2022-01-20,9.3
B00PVK7KCU,Babynahrung,2022-02-17,9.3
B00PVK7KCU,Babynahrung,2022-02-24,13.74
B00PVK7KCU,Babynahrung,2022-02-25,11.7
B00PVK7KCU,Babynahrung,2022-03-26,9.5
B00PVK7KCU,Babynahrung,2022-03-29,9.56
B00PVK7KCU,Babynahrung,2022-04-02,9.8
B00PVK7KCU,Babynahrung,2022-04-05,9.63
B00PVK7KCU,Babynahrung,2022-04-16,9.75
B00PVK7KCU,Babynahrung,2022-04-19,9.81
B00PVK7KCU,Babynahrung,2022-04-24,9.59
B00PVK7KCU,Babynahrung,2022-04-25,9.63
B00PVK7KCU,Babynahrung,2022-05-04,9.68
B00PVK7KCU,Babynahrung,2022-05-07,9.75
B00PVK7KCU,Babynahrung,2022-05-08,9.85
B00PVK7KCU,Babynahrung,2022-05-11,9.63
B00PVK7KCU,Babynahrung,2022-05-15,9.78
B00PVK7KCU,Babynahrung,2022-05-16,9.85
B00PVK7KCU,Babynahrung,2022-05-21,9.61
B00PVK7KCU,Babynahrung,2022-05-23,9.85
B00PVK7KCU,Babynahrung,2022-05-25,9.67
B00PVK7KCU,Babynahrung,2022-05-26,9.72
B00PVK7KCU,Babynahrung,2022-05-27,9.65
B00PVK7KCU,Babynahrung,2022-05-28,9.58
B00PVK7KCU,Babynahrung,2022-05-29,9.66
B00PVK7KCU,Babynahrung,2022-05-30,9.74
B00PVK7KCU,Babynahrung,2022-05-31,9.72
B00PVK7KCU,Babynahrung,2022-06-01,9.64
B00PVK7KCU,Babynahrung,2022-06-05,11.7
B00PVK7KCU,Babynahrung,2022-06-05,9.68
B00PVK7KCU,Babynahrung,2022-06-07,11.94
B00PVK7KCU,Babynahrung,2022-06-08,11.7
B00PVK7KCU,Babynahrung,2022-06-09,9.81
B00PVK7KCU,Babynahrung,2022-06-14,9.6
B00PVK7KCU,Babynahrung,2022-06-19,9.69
B00PVK7KCU,Babynahrung,2022-06-20,9.63
B00PVK7KCU,Babynahrung,2022-07-05,9.85
B00PVK7KCU,Babynahrung,2022-07-11,9.84
B00PVK7KCU,Babynahrung,2022-07-16,11.7
B00PVK7KCU,Babynahrung,2022-12-05,11.7
B00PVK7KL6,Babynahrung,2022-02-18,22.8
B00PVK7KL6,Babynahrung,2022-02-23,22.8
B00PVK7KL6,Babynahrung,2022-03-26,22.8
B00PVK7KL6,Babynahrung,2022-04-18,22.95
B00PVK7KL6,Babynahrung,2022-04-19,22.8
B00PVK7KL6,Babynahrung,2022-07-10,22.8
B00PVK7KL6,Babynahrung,2022-08-17,22.8
B00PVK7KL6,Babynahrung,2022-11-25,22.8
B00PVK7KL6,Babynahrung,2022-12-14,22.8
