asin,date,priceNew,category
B004VRARQU,2022/01/02,199,Desktop-PCs
B004VRARQU,2022/01/13,198.94,Desktop-PCs
B004VRARQU,2022/01/15,198.82,Desktop-PCs
B004VRARQU,2022/01/16,198.74,Desktop-PCs
B004VRARQU,2022/01/18,198.99,Desktop-PCs
B004VRARQU,2022/01/19,199,Desktop-PCs
B004VRARQU,2022/01/27,198.99,Desktop-PCs
B004VRARQU,2022/01/28,199,Desktop-PCs
B004VRARQU,2022/01/30,198.99,Desktop-PCs
B004VRARQU,2022/02/02,199,Desktop-PCs
B004VRARQU,2022/02/13,198.98,Desktop-PCs
B004VRARQU,2022/02/14,199,Desktop-PCs
B004VRARQU,2022/02/18,198.98,Desktop-PCs
B004VRARQU,2022/02/19,198.99,Desktop-PCs
B004VRARQU,2022/02/22,199,Desktop-PCs
B004VRARQU,2022/02/24,198.99,Desktop-PCs
B004VRARQU,2022/02/25,199,Desktop-PCs
B004VRARQU,2022/02/28,198.99,Desktop-PCs
B004VRARQU,2022/03/01,198.98,Desktop-PCs
B004VRARQU,2022/03/03,198.99,Desktop-PCs
B004VRARQU,2022/03/04,199,Desktop-PCs
B004VRARQU,2022/03/05,198.98,Desktop-PCs
B004VRARQU,2022/03/06,198.99,Desktop-PCs
B004VRARQU,2022/03/07,198.98,Desktop-PCs
B004VRARQU,2022/03/09,198.99,Desktop-PCs
B004VRARQU,2022/03/15,199,Desktop-PCs
B004VRARQU,2022/03/16,198.99,Desktop-PCs
B004VRARQU,2022/03/18,198.98,Desktop-PCs
B004VRARQU,2022/03/19,198.99,Desktop-PCs
B004VRARQU,2022/03/21,199,Desktop-PCs
B004VRARQU,2022/03/23,198.99,Desktop-PCs
B004VRARQU,2022/03/24,199,Desktop-PCs
B004VRARQU,2022/03/25,198.99,Desktop-PCs
B004VRARQU,2022/03/26,199,Desktop-PCs
B004VRARQU,2022/03/30,198.99,Desktop-PCs
B004VRARQU,2022/03/31,199,Desktop-PCs
B004VRARQU,2022/04/02,198.99,Desktop-PCs
B004VRARQU,2022/04/05,199,Desktop-PCs
B004VRARQU,2022/04/06,198.99,Desktop-PCs
B004VRARQU,2022/04/07,199,Desktop-PCs
B004VRARQU,2022/04/11,198.99,Desktop-PCs
B004VRARQU,2022/04/15,198.98,Desktop-PCs
B004VRARQU,2022/04/16,198.99,Desktop-PCs
B004VRARQU,2022/04/17,199,Desktop-PCs
B004VRARQU,2022/04/18,198.99,Desktop-PCs
B004VRARQU,2022/04/20,198.96,Desktop-PCs
B004VRARQU,2022/04/22,198.99,Desktop-PCs
B004VRARQU,2022/04/23,199,Desktop-PCs
B004VRARQU,2022/04/25,198.99,Desktop-PCs
B004VRARQU,2022/04/26,199,Desktop-PCs
B004VRARQU,2022/05/02,198.99,Desktop-PCs
B004VRARQU,2022/05/11,198.98,Desktop-PCs
B004VRARQU,2022/05/14,199,Desktop-PCs
B004VRARQU,2022/05/16,198.99,Desktop-PCs
B004VRARQU,2022/05/17,196.41,Desktop-PCs
B004VRARQU,2022/05/18,197.02,Desktop-PCs
